[ 1797.474273] nouveau 0000:09:00.0: devinit: 0x0000a1ca[ ]: 		0x05050505
[ 1797.474275] nouveau 0000:09:00.0: devinit: 0x0000a1ce[ ]: 		0x05050505 *
[ 1797.474276] nouveau 0000:09:00.0: devinit: 0x0000a1d2[ ]: 		0x05050505
[ 1797.474278] nouveau 0000:09:00.0: devinit: 0x0000a1d6[ ]: 	}
[ 1797.474280] nouveau 0000:09:00.0: devinit: 0x0000a1d6[ ]: 	R[0x11ec5c] = {
[ 1797.474281] nouveau 0000:09:00.0: devinit: 0x0000a1d6[ ]: 		0x05050505
[ 1797.474283] nouveau 0000:09:00.0: devinit: 0x0000a1da[ ]: 		0x05050505
[ 1797.474284] nouveau 0000:09:00.0: devinit: 0x0000a1de[ ]: 		0x05050505
[ 1797.474286] nouveau 0000:09:00.0: devinit: 0x0000a1e2[ ]: 		0x05050505
[ 1797.474288] nouveau 0000:09:00.0: devinit: 0x0000a1e6[ ]: 		0x05050505
[ 1797.474289] nouveau 0000:09:00.0: devinit: 0x0000a1ea[ ]: 		0x05050505
[ 1797.474291] nouveau 0000:09:00.0: devinit: 0x0000a1ee[ ]: 		0x05050505 *
[ 1797.474293] nouveau 0000:09:00.0: devinit: 0x0000a1f2[ ]: 		0x05050505
[ 1797.474294] nouveau 0000:09:00.0: devinit: 0x0000a1f6[ ]: 	}
[ 1797.474296] nouveau 0000:09:00.0: devinit: 0x0000a1f6[ ]: 	R[0x11ec68] = {
[ 1797.474298] nouveau 0000:09:00.0: devinit: 0x0000a1f6[ ]: 		0x05050505
[ 1797.474299] nouveau 0000:09:00.0: devinit: 0x0000a1fa[ ]: 		0x05050505
[ 1797.474301] nouveau 0000:09:00.0: devinit: 0x0000a1fe[ ]: 		0x05050505
[ 1797.474303] nouveau 0000:09:00.0: devinit: 0x0000a202[ ]: 		0x05050505
[ 1797.474304] nouveau 0000:09:00.0: devinit: 0x0000a206[ ]: 		0x05050505
[ 1797.474306] nouveau 0000:09:00.0: devinit: 0x0000a20a[ ]: 		0x05050505
[ 1797.474307] nouveau 0000:09:00.0: devinit: 0x0000a20e[ ]: 		0x05050505 *
[ 1797.474309] nouveau 0000:09:00.0: devinit: 0x0000a212[ ]: 		0x05050505
[ 1797.474311] nouveau 0000:09:00.0: devinit: 0x0000a216[ ]: 	}
[ 1797.474312] nouveau 0000:09:00.0: devinit: 0x0000a216[ ]: 	R[0x11ec74] = {
[ 1797.474314] nouveau 0000:09:00.0: devinit: 0x0000a216[ ]: 		0x05050505
[ 1797.474316] nouveau 0000:09:00.0: devinit: 0x0000a21a[ ]: 		0x05050505
[ 1797.474317] nouveau 0000:09:00.0: devinit: 0x0000a21e[ ]: 		0x05050505
[ 1797.474319] nouveau 0000:09:00.0: devinit: 0x0000a222[ ]: 		0x05050505
[ 1797.474321] nouveau 0000:09:00.0: devinit: 0x0000a226[ ]: 		0x05050505
[ 1797.474322] nouveau 0000:09:00.0: devinit: 0x0000a22a[ ]: 		0x05050505
[ 1797.474324] nouveau 0000:09:00.0: devinit: 0x0000a22e[ ]: 		0x05050505 *
[ 1797.474326] nouveau 0000:09:00.0: devinit: 0x0000a232[ ]: 		0x05050505
[ 1797.474327] nouveau 0000:09:00.0: devinit: 0x0000a236[ ]: 	}
[ 1797.474329] nouveau 0000:09:00.0: devinit: 0x0000a236[ ]: RAM_RESTRICT_ZM_REG_GROUP	R[0x0011ed40] 0x08 0x01
[ 1797.474331] nouveau 0000:09:00.0: devinit: 0x0000a23d[ ]: 	R[0x11ed40] = {
